"V1","V2","V3","V4"
"LinReg DS","9","0.333333333333333","0.88"
"LinReg MS","9","0","0.88"
"DataSplitting","9","0.25","0.96"
"MultipleDataSplitting","9","0.111111111111111","0.96"
"Knockoff","9","0.04","0.96"
"BH","9","0","0.96"
"LinReg DS","9","0.142857142857143","0.72"
"LinReg MS","9","0","0.76"
"DataSplitting","9","0.08","0.92"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0","0.92"
"BH","9","0","0.84"
"LinReg DS","9","0.0952380952380952","0.76"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.125","0.84"
"MultipleDataSplitting","9","0.0869565217391304","0.84"
"Knockoff","9","0.275862068965517","0.84"
"BH","9","0","0.8"
"LinReg DS","9","0.05","0.76"
"LinReg MS","9","0.125","0.84"
"DataSplitting","9","0.0454545454545455","0.84"
"MultipleDataSplitting","9","0","0.84"
"Knockoff","9","0.0454545454545455","0.84"
"BH","9","0","0.84"
"LinReg DS","9","0","0.6"
"LinReg MS","9","0","0.72"
"DataSplitting","9","0.192307692307692","0.84"
"MultipleDataSplitting","9","0","0.8"
"Knockoff","9","0.192307692307692","0.84"
"BH","9","0","0.76"
"LinReg DS","9","0.0434782608695652","0.88"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0.115384615384615","0.92"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0.08","0.92"
"BH","9","0","0.92"
"LinReg DS","9","0.0869565217391304","0.84"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.0454545454545455","0.84"
"MultipleDataSplitting","9","0","0.84"
"Knockoff","9","0","0.84"
"BH","9","0","0.8"
"LinReg DS","9","0.0869565217391304","0.84"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0","0.84"
"MultipleDataSplitting","9","0","0.8"
"Knockoff","9","0","0.84"
"BH","9","0","0.84"
"LinReg DS","9","0.08","0.92"
"LinReg MS","9","0.178571428571429","0.92"
"DataSplitting","9","0","0.96"
"MultipleDataSplitting","9","0","0.88"
"Knockoff","9","0","0.92"
"BH","9","0","0.88"
"LinReg DS","9","0","0.72"
"LinReg MS","9","0","0.76"
"DataSplitting","9","0.148148148148148","0.92"
"MultipleDataSplitting","9","0.148148148148148","0.92"
"Knockoff","9","0.115384615384615","0.92"
"BH","9","0.0416666666666667","0.92"
"LinReg DS","9","0","0.76"
"LinReg MS","9","0.172413793103448","0.96"
"DataSplitting","9","0","0.96"
"MultipleDataSplitting","9","0","0.96"
"Knockoff","9","0","0.96"
"BH","9","0","0.92"
"LinReg DS","9","0.0454545454545455","0.84"
"LinReg MS","9","0","0.84"
"DataSplitting","9","0.04","0.96"
"MultipleDataSplitting","9","0.0769230769230769","0.96"
"Knockoff","9","0.04","0.96"
"BH","9","0.0434782608695652","0.88"
"LinReg DS","9","0","0.72"
"LinReg MS","9","0","0.8"
"DataSplitting","9","0.0434782608695652","0.88"
"MultipleDataSplitting","9","0","0.84"
