"Method","Delta","FDP","Power"
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0454545454545455,0.84
"Boost MS",11,0,0.84
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0454545454545455,0.84
"Boost MS",11,0,0.8
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.214285714285714,0.88
"Boost MS",11,0.266666666666667,0.88
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0,0.8
"Boost MS",11,0,0.8
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.16,0.84
"Boost MS",11,0,0.88
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",11,0.0454545454545455,0.84
"Boost MS",11,0.323529411764706,0.92
"DataSplitting",11,0,0
"MultipleDataSplitting",11,0,0
"Knockoff",11,0,0
"Benjamini–Hochberg (BH)",11,0,0
"Boost DS",12,0,0.84
"Boost MS",12,0,0.84
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0.2,0.8
"Boost MS",12,0.05,0.76
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0,0.8
"Boost MS",12,0.2,0.8
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0,0.72
"Boost MS",12,0,0.76
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0.432432432432432,0.84
"Boost MS",12,0.115384615384615,0.92
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0,0.92
"Boost MS",12,0,0.88
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0.0434782608695652,0.88
"Boost MS",12,0,0.88
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0.05,0.76
"Boost MS",12,0,0.72
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
"Boost DS",12,0,0.88
"Boost MS",12,0,0.88
"DataSplitting",12,0,0
"MultipleDataSplitting",12,0,0
"Knockoff",12,0,0
"Benjamini–Hochberg (BH)",12,0,0
