"seed","Method","Delta","FDP","Power"
49,"Knockoff",8,0.0454545454545455,0.84
49,"Benjamini–Hochberg (BH)",8,0,0.8
50,"Boost DS",8,0.0476190476190476,0.8
50,"Boost MS",8,0.241379310344828,0.88
50,"DataSplitting",8,0.04,0.96
50,"MultipleDataSplitting",8,0,0.92
50,"Knockoff",8,0.0416666666666667,0.92
50,"Benjamini–Hochberg (BH)",8,0,0.88
1,"Boost DS",9,0.08,0.92
1,"Boost MS",9,0,0.88
1,"DataSplitting",9,0.148148148148148,0.92
1,"MultipleDataSplitting",9,0,0.92
1,"Knockoff",9,0.178571428571429,0.92
1,"Benjamini–Hochberg (BH)",9,0,0.92
2,"Boost DS",9,0,0.72
2,"Boost MS",9,0,0.72
2,"DataSplitting",9,0.0833333333333333,0.88
2,"MultipleDataSplitting",9,0.0833333333333333,0.88
2,"Knockoff",9,0.12,0.88
2,"Benjamini–Hochberg (BH)",9,0,0.8
3,"Boost DS",9,0.166666666666667,0.8
3,"Boost MS",9,0.0833333333333333,0.88
3,"DataSplitting",9,0.115384615384615,0.92
3,"MultipleDataSplitting",9,0,0.88
3,"Knockoff",9,0.0416666666666667,0.92
3,"Benjamini–Hochberg (BH)",9,0,0.84
4,"Boost DS",9,0.115384615384615,0.92
4,"Boost MS",9,0,0.88
4,"DataSplitting",9,0.115384615384615,0.92
